4;arms_factory;3050.00;14.13;1473.00;3.12;0
4;arms_factory;3058.00;10.05;1492.00;0.96;0
4;arms_factory;3040.00;13.23;1452.00;3.98;0
4;arms_factory;3063.00;9.90;1490.00;0.36;0
4;arms_factory;3055.00;12.23;1484.00;3.02;0
4;arms_factory;3060.00;10.98;1476.00;5.69;0
4;industrial_complex;3047.00;13.88;1474.00;2.43;0
4;industrial_complex;3043.00;13.60;1456.00;3.63;0
4;industrial_complex;3041.00;13.43;1472.00;1.47;0
4;industrial_complex;3061.00;10.70;1469.00;4.13;0
4;industrial_complex;3060.00;11.40;1479.00;5.69;0
4;industrial_complex;3067.00;10.03;1484.00;2.07;0
4;air_base;3048.72;13.70;1469.71;1.22;0
4;bunker;3054.00;10.40;1458.00;1.48;0
4;bunker;3056.00;11.00;1467.00;4.14;0
4;bunker;3063.00;10.40;1486.00;1.98;0
4;bunker;3051.00;10.80;1453.00;3.19;0
4;bunker;3042.00;13.10;1461.00;6.20;0
4;bunker;3048.00;11.30;1484.00;2.59;0
4;bunker;3047.00;12.15;1463.00;0.43;0
4;bunker;3044.00;14.35;1467.00;1.63;0
4;bunker;3064.00;9.98;1492.00;4.65;0
4;bunker;3053.58;14.00;1474.62;3.13;0
4;bunker;3069.00;9.70;1478.00;3.69;0
4;bunker;3062.00;10.85;1479.00;1.54;0
4;bunker;3054.00;10.35;1492.00;3.10;0
4;anti_air_building;3044.00;12.78;1458.00;5.76;0
4;anti_air_building;3045.00;13.43;1471.00;2.14;0
4;anti_air_building;3058.00;11.05;1469.00;5.16;0
4;synthetic_refinery;3053.00;10.60;1492.00;0.08;0
4;nuclear_reactor;3044.00;12.55;1461.00;0.59;0
9;arms_factory;3054.00;11.20;1522.00;5.69;0
9;arms_factory;3023.00;13.05;1505.00;2.07;0
9;arms_factory;3062.00;12.28;1520.00;6.20;0
9;arms_factory;3038.00;11.25;1525.00;1.48;0
9;arms_factory;3040.00;12.60;1512.00;4.14;0
9;arms_factory;3042.00;11.45;1520.00;1.98;0
9;industrial_complex;3033.00;12.15;1501.00;3.19;0
9;industrial_complex;3036.00;11.73;1517.00;6.20;0
9;industrial_complex;3042.00;10.78;1522.00;2.59;0
9;industrial_complex;3019.00;12.20;1519.00;0.43;0
9;industrial_complex;3056.00;11.98;1520.00;1.63;0
9;industrial_complex;3016.00;12.05;1513.00;4.65;0
9;air_base;3026.20;12.50;1515.05;3.03;0
